time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
255.05	-5.68858	-2.51893	-0.000404231	0.000368475	0.769655	0.63846	0.102081	0.0852616
255.251	-5.69116	-2.49888	-0.00040463	0.000363757	0.775404	0.631465	0.103834	0.0851937
255.451	-5.69396	-2.47928	-0.000416297	0.00033863	0.781155	0.624337	0.105981	0.087101
255.65	-5.68143	-2.48518	-0.000396533	0.000230861	0.784399	0.620256	0.103176	0.0838567
255.851	-5.68489	-2.46518	-0.000402983	0.000266671	0.790299	0.612721	0.109063	0.0959904
256.05	-5.68872	-2.44553	-0.000346828	0.000330583	0.796114	0.605146	0.110088	0.096694
256.25	-5.694	-2.40248	-0.000409489	0.000271995	0.803548	0.59524	0.10394	0.0991787
256.45	-5.69854	-2.3834	-0.000424396	0.000315117	0.809238	0.58748	0.108498	0.0904132
256.65	-5.69405	-2.38281	-0.00040607	0.00033432	0.813739	0.58123	0.101927	0.0827183
256.85	-5.69779	-2.36921	-0.000393512	0.000323042	0.817816	0.57548	0.102375	0.0854555
257.05	-5.70304	-2.35104	-0.000428107	0.000249931	0.823016	0.568018	0.101764	0.0873115
257.25	-5.70543	-2.34686	-0.000440356	0.000335467	0.826097	0.563527	0.104875	0.0897004
257.45	-5.71121	-2.32907	-0.000423141	0.000250002	0.831002	0.55627	0.104087	0.0889384
257.65	-5.7174	-2.31125	-0.000429552	0.000239333	0.83583	0.548987	0.102748	0.0876715
257.85	-5.72423	-2.32741	-0.000438281	0.000290053	0.838922	0.544252	0.100681	0.0764026
258.05	-5.73079	-2.31025	-0.000453313	0.00032286	0.843498	0.537132	0.101713	0.0769215
258.25	-5.73774	-2.29316	-0.000450442	0.000316331	0.847736	0.530419	0.101928	0.0702551
258.45	-5.75908	-2.26861	-0.000443825	0.000304576	0.852831	0.522186	0.100021	0.0863859
258.65	-5.76525	-2.25379	-0.000407017	0.000291707	0.857016	0.51529	0.102971	0.0716108
258.85	-5.77325	-2.23699	-0.000445329	0.000298347	0.860999	0.508606	0.102459	0.08
259.05	-5.78272	-2.2051	-0.000440671	0.000289617	0.864948	0.501861	0.105269	0.069021
259.25	-5.79126	-2.1887	-0.000437702	0.000299992	0.868446	0.495784	0.103728	0.0643882
259.451	-5.79803	-2.17618	-0.000444197	0.000276025	0.870761	0.491707	0.104258	0.0689392
259.65	-5.81466	-2.15591	-0.000397716	0.000271061	0.874888	0.484325	0.101316	0.0656154
259.85	-5.82594	-2.13879	-0.000408714	0.000184937	0.878045	0.478578	0.106625	0.0592342
260.05	-5.83558	-2.12277	-0.000413329	0.00022066	0.880945	0.473218	0.1037	0.0528786
260.25	-5.83435	-2.10595	-0.000382751	0.000190942	0.882789	0.46977	0.0999519	0.0486432
260.45	-5.84441	-2.09007	-0.000407988	0.00025569	0.885289	0.46504	0.104028	0.0467686
260.65	-5.85468	-2.07433	-0.000408039	0.000255333	0.887636	0.460545	0.103286	0.0445854
260.85	-5.87029	-2.05032	-0.000372164	0.000189226	0.890502	0.45498	0.111626	0.0498003
261.05	-5.88081	-2.03505	-0.000416099	0.000245426	0.892577	0.450895	0.10055	0.0114263
261.25	-5.89136	-2.01992	-0.000392042	0.000158882	0.893237	0.449586	0.102123	0.00895351
261.45	-5.90988	-1.98891	-0.00042028	0.000242094	0.894383	0.447301	0.104742	0
261.65	-5.92082	-1.97353	-0.000420945	0.000251843	0.895053	0.44596	0.104593	0.00961267
261.85	-5.92897	-1.96227	-0.000369984	0.000203151	0.895402	0.445259	0.100523	0.00707888
262.05	-5.94521	-1.94243	-0.000408838	0.00023579	0.89647	0.443104	0.128321	-0.031288
262.25	-5.95939	-1.9242	-0.000421321	0.000250975	0.89604	0.443973	0.100344	-0.0237659
262.45	-5.9717	-1.90737	-0.000337314	0.000210576	0.894766	0.446535	0.114807	-0.0575911
262.65	-5.98335	-1.88269	-0.000364853	0.000224912	0.893979	0.448109	0.106779	-0.0508194
262.85	-5.99665	-1.86419	-0.000307783	0.000202911	0.891976	0.452082	0.139599	-0.0886464
263.05	-6.01436	-1.83848	-0.000184524	0.000153891	0.888895	0.458111	0.182598	-0.110247
263.25	-6.04024	-1.79661	-5.73901e-05	8.37888e-05	0.883304	0.4688	0.233948	-0.20852
263.45	-6.06654	-1.75585	0.000105155	-0.000129711	0.875535	0.483155	0.281679	-0.254997
263.65	-6.09639	-1.70645	0.000264544	-0.000451508	0.867217	0.49793	0.326816	-0.261474
263.85	-6.16973	-1.67355	0.000337697	-0.000617143	0.859637	0.510904	0.36091	-0.272697
264.05	-6.20309	-1.60883	0.000415178	-0.000717478	0.851107	0.524991	0.365313	-0.267916
264.25	-6.22727	-1.55824	7.36861e-05	-0.000316447	0.84468	0.535271	0	0
264.45	-6.19046	-1.53834	-0.000301168	0.000174148	0.83897	0.544178	0.150261	-0.195019
264.65	-6.20641	-1.51966	-0.000229407	0.000511179	0.816905	0.576772	0.154733	-0.25224
264.85	-6.21952	-1.49099	-8.90037e-05	0.000114414	0.808044	0.589122	0.206244	-0.215062
265.05	-6.22807	-1.44422	4.06959e-05	-0.000202564	0.800267	0.599644	0.25631	-0.212578
265.25	-6.2413	-1.39465	0.000158232	-0.000643834	0.79232	0.610106	0.303115	-0.222556
265.45	-6.25488	-1.33787	0.000220304	-0.000677778	0.784575	0.620033	0.284876	-0.223592
265.65	-6.26384	-1.29086	3.02722e-06	-0.000321458	0.77148	0.636253	0.27415	-0.257469
265.85	-6.27356	-1.23501	0.000224311	-0.000667625	0.763815	0.645435	0.324156	-0.241499
266.05	-6.2818	-1.16869	0.000330606	-0.000820138	0.755913	0.654672	0.372557	-0.2513
266.251	-6.2732	-1.10284	5.14013e-05	-0.000331962	0.748081	0.663607	0.177868	-0.207045
266.45	-6.27461	-1.08736	-0.00020853	0.000184663	0.741402	0.671061	0.125115	-0.191054
266.65	-6.27676	-1.05674	2.42943e-06	8.40354e-05	0.732607	0.680652	0.195845	-0.192179
266.85	-6.2893	-1.04229	0.000121665	-0.000402497	0.727132	0.686498	0.264599	-0.197903
267.05	-6.29077	-1.00042	0.000197769	-0.00064255	0.720763	0.693181	0.320844	-0.243698
267.25	-6.29119	-0.936443	0.000269967	-0.000771571	0.710977	0.703215	0.359559	-0.237034
267.45	-6.29108	-0.856371	0.000626755	-0.00115918	0.699734	0.714403	0.385853	-0.24762
267.65	-6.28793	-0.780885	0.0010733	-0.00166771	0.688747	0.724999	0.383111	-0.235183
267.85	-6.28294	-0.706166	0.00149742	-0.00216926	0.677033	0.735948	0.376146	-0.244745
268.05	-6.27066	-0.615641	0.00183425	-0.00258512	0.662887	0.748712	0.369572	-0.244039
268.25	-6.26185	-0.543562	0.00212714	-0.00301268	0.648562	0.761153	0.36092	-0.247228
268.45	-6.25037	-0.473737	0.00233379	-0.00333812	0.632709	0.774379	0.360402	-0.258249
268.65	-6.26804	-0.433977	0.00247692	-0.0036174	0.616892	0.787036	0.350451	-0.239374
268.85	-6.25222	-0.367924	0.00251927	-0.00378166	0.599079	0.800677	0.344029	-0.248478
269.05	-6.23425	-0.303578	0.00247885	-0.00384924	0.579918	0.814662	0.344833	-0.240458
269.25	-6.20698	-0.242782	0.00235976	-0.00385864	0.561041	0.827775	0.335674	-0.225632
269.45	-6.18285	-0.180335	0.00225001	-0.00379749	0.544914	0.83848	0.34481	-0.128163
269.65	-6.16339	-0.133175	0.00212151	-0.0037126	0.53424	0.845322	0.346639	-0.124551
269.851	-6.11933	-0.0314491	0.00198152	-0.00366054	0.518272	0.855206	0.344981	-0.116314
270.05	-6.08854	0.0282494	0.00182916	-0.00354	0.505711	0.862694	0.344207	-0.100403
270.251	-6.05662	0.0873236	0.00167898	-0.00339902	0.493996	0.869456	0.344016	-0.109762
